                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.9306,                0.40845,                 1.0769,                0.99112,                0.96279,                0.98694,                0.70438,                 1.1267,                0.38396,                 1.1928,              0.0033308,              0.0033308,              0.0033308
                      2,                0.94751,                0.42005,                 1.0857,                0.98742,                0.95706,                0.98319,                0.69559,                 1.1414,                0.40963,                 1.2079,               0.006651,               0.006651,               0.006651
                      3,                0.99235,                0.46058,                 1.1055,                0.98238,                0.95324,                0.98303,                0.68044,                 1.1506,                 0.4534,                 1.1978,              0.0099579,              0.0099579,              0.0099579
                      4,                 1.0506,                 0.5076,                 1.1359,                0.98644,                0.95515,                0.98274,                0.67703,                 1.1685,                0.44673,                 1.2116,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.0527,                0.51141,                  1.141,                0.97755,                0.96374,                0.98718,                0.68634,                 1.1641,                0.44238,                 1.1975,              0.0099208,              0.0099208,              0.0099208
                      6,                 1.0504,                0.50668,                 1.1366,                0.96811,                0.96183,                0.98242,                0.68226,                 1.1646,                0.44704,                 1.2033,               0.009901,               0.009901,               0.009901
                      7,                 1.0546,                0.51223,                 1.1409,                0.98631,                0.95229,                0.98077,                0.67608,                 1.1786,                 0.4493,                 1.2053,              0.0098812,              0.0098812,              0.0098812
                      8,                 1.0488,                0.50679,                  1.139,                0.98934,                0.95706,                0.98407,                0.67531,                 1.1721,                0.43923,                 1.2027,              0.0098614,              0.0098614,              0.0098614
                      9,                 1.0558,                0.50517,                 1.1363,                0.98524,                0.95562,                0.98234,                0.68866,                 1.1329,                0.42747,                 1.1854,              0.0098416,              0.0098416,              0.0098416
                     10,                 1.0477,                0.50621,                 1.1322,                0.99015,                0.95947,                0.98189,                0.68775,                 1.1541,                0.43701,                  1.194,              0.0098218,              0.0098218,              0.0098218
                     11,                 1.0509,                0.50541,                 1.1377,                0.97634,                0.96183,                0.98074,                0.68663,                 1.1637,                0.44325,                 1.2043,               0.009802,               0.009802,               0.009802
                     12,                 1.0437,                0.50157,                 1.1348,                0.98514,                0.94894,                0.97845,                0.68606,                 1.1176,                  0.436,                 1.1815,              0.0097822,              0.0097822,              0.0097822
                     13,                 1.0454,                0.50517,                  1.133,                0.99212,                0.96135,                 0.9848,                 0.6924,                 1.1426,                0.41827,                 1.1847,              0.0097624,              0.0097624,              0.0097624
                     14,                 1.0449,                0.50214,                 1.1337,                0.99001,                0.95706,                0.98346,                0.68079,                 1.1627,                0.42777,                 1.1928,              0.0097426,              0.0097426,              0.0097426
                     15,                   1.04,                0.49595,                 1.1319,                0.98921,                0.96184,                0.98689,                0.69786,                 1.1203,                 0.4098,                 1.1798,              0.0097228,              0.0097228,              0.0097228
                     16,                 1.0394,                0.49775,                 1.1294,                0.98725,                0.96019,                0.98419,                0.69277,                 1.1194,                0.40961,                 1.1794,               0.009703,               0.009703,               0.009703
                     17,                 1.0353,                0.49502,                 1.1297,                0.98531,                0.96469,                0.98642,                0.69807,                 1.1148,                0.41056,                  1.174,              0.0096832,              0.0096832,              0.0096832
                     18,                 1.0343,                0.49212,                 1.1301,                0.98528,                0.95811,                0.98618,                0.70008,                 1.1114,                0.39744,                 1.1725,              0.0096634,              0.0096634,              0.0096634
                     19,                 1.0326,                0.49171,                  1.127,                0.98826,                0.96358,                0.98857,                0.71333,                 1.0994,                0.39408,                 1.1656,              0.0096436,              0.0096436,              0.0096436
                     20,                 1.0302,                0.48736,                 1.1276,                0.98825,                0.96303,                0.98483,                0.69721,                 1.1221,                 0.4078,                 1.1798,              0.0096238,              0.0096238,              0.0096238
                     21,                 1.0348,                0.49246,                 1.1289,                0.98557,                0.96851,                0.99058,                0.70697,                 1.1001,                0.39399,                 1.1601,               0.009604,               0.009604,               0.009604
