                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     22,                 1.0328,                0.48799,                  1.125,                0.98773,                0.96088,                0.98716,                0.69755,                 1.1286,                0.39871,                  1.185,              0.0095842,              0.0095842,              0.0095842
                     23,                 1.0295,                0.48619,                 1.1237,                0.98521,                0.96469,                0.98579,                0.70168,                 1.1105,                0.38867,                 1.1715,              0.0095644,              0.0095644,              0.0095644
                     24,                 1.0301,                0.48768,                 1.1271,                0.98722,                0.96469,                0.98694,                0.70107,                 1.1209,                0.38568,                  1.172,              0.0095446,              0.0095446,              0.0095446
                     25,                 1.0287,                0.48683,                 1.1283,                0.99111,                0.96374,                0.98653,                0.70218,                 1.1093,                0.38621,                 1.1659,              0.0095248,              0.0095248,              0.0095248
                     26,                 1.0283,                0.48539,                 1.1257,                0.98633,                0.96947,                0.98706,                0.71048,                 1.1026,                 0.3842,                 1.1668,               0.009505,               0.009505,               0.009505
                     27,                 1.0265,                0.48092,                 1.1263,                0.98726,                0.97042,                0.98738,                0.70716,                 1.1075,                0.37849,                 1.1647,              0.0094852,              0.0094852,              0.0094852
                     28,                 1.0221,                0.47834,                 1.1241,                0.99113,                0.96756,                0.98635,                0.70961,                 1.1072,                0.37765,                 1.1639,              0.0094654,              0.0094654,              0.0094654
                     29,                 1.0204,                0.48201,                 1.1221,                0.98599,                0.96374,                0.98586,                0.71218,                 1.0999,                0.37555,                 1.1588,              0.0094456,              0.0094456,              0.0094456
                     30,                 1.0194,                0.47434,                  1.121,                 0.9902,                0.96396,                 0.9864,                0.70964,                 1.1066,                  0.376,                 1.1667,              0.0094258,              0.0094258,              0.0094258
                     31,                 1.0229,                0.47916,                 1.1232,                0.98807,                0.96851,                0.98833,                0.70721,                 1.1077,                0.37438,                 1.1714,               0.009406,               0.009406,               0.009406
                     32,                 1.0233,                0.48041,                 1.1201,                0.98898,                0.96851,                0.98987,                0.70738,                 1.1054,                0.37365,                 1.1644,              0.0093862,              0.0093862,              0.0093862
                     33,                 1.0211,                0.48307,                 1.1226,                0.98829,                0.96629,                0.98921,                0.70869,                 1.1028,                0.37096,                 1.1582,              0.0093664,              0.0093664,              0.0093664
                     34,                 1.0187,                0.47771,                 1.1222,                0.98795,                0.96851,                0.98727,                0.71055,                 1.0958,                0.36774,                 1.1538,              0.0093466,              0.0093466,              0.0093466
                     35,                 1.0182,                0.47582,                 1.1204,                 0.9938,                0.97042,                0.99174,                0.71084,                 1.0986,                0.36842,                 1.1582,              0.0093268,              0.0093268,              0.0093268
                     36,                 1.0115,                0.47182,                 1.1198,                0.99027,                0.97076,                0.99059,                0.71157,                 1.1011,                0.36745,                 1.1593,               0.009307,               0.009307,               0.009307
                     37,                 1.0132,                0.47522,                 1.1196,                0.98833,                0.96956,                0.98931,                0.71445,                 1.0965,                0.36803,                 1.1568,              0.0092872,              0.0092872,              0.0092872
                     38,                 1.0131,                0.47247,                 1.1174,                0.98752,                0.96756,                0.98662,                0.71215,                 1.0959,                0.36745,                 1.1588,              0.0092674,              0.0092674,              0.0092674
                     39,                  1.011,                0.47339,                 1.1169,                0.98742,                0.97233,                0.98897,                0.71508,                 1.0927,                0.36329,                 1.1557,              0.0092476,              0.0092476,              0.0092476
                     40,                 1.0147,                0.47159,                 1.1187,                0.98829,                0.97328,                0.98925,                0.71374,                 1.0943,                0.36158,                 1.1546,              0.0092278,              0.0092278,              0.0092278
                     41,                  1.017,                0.47249,                 1.1198,                0.99213,                0.97042,                0.98907,                0.71463,                 1.0963,                0.36281,                 1.1559,               0.009208,               0.009208,               0.009208
                     42,                 1.0097,                0.47122,                  1.118,                0.99217,                0.96698,                0.98636,                0.71469,                 1.0961,                0.36268,                 1.1565,              0.0091882,              0.0091882,              0.0091882
                     43,                 1.0072,                0.47022,                 1.1161,                 0.9913,                0.96756,                0.98615,                0.71299,                 1.0973,                0.36333,                  1.158,              0.0091684,              0.0091684,              0.0091684
                     44,                 1.0111,                0.47391,                 1.1167,                0.99121,                0.96828,                 0.9865,                0.71365,                 1.0981,                0.36241,                 1.1583,              0.0091486,              0.0091486,              0.0091486
                     45,                 1.0097,                0.47021,                  1.113,                0.99164,                0.96947,                0.98714,                0.71495,                 1.0979,                0.36134,                 1.1581,              0.0091288,              0.0091288,              0.0091288
                     46,                 1.0087,                0.47165,                 1.1156,                0.99315,                0.96843,                0.98655,                0.71321,                 1.0975,                0.36098,                 1.1574,               0.009109,               0.009109,               0.009109
                     47,                 1.0079,                0.47035,                 1.1175,                0.99315,                0.96806,                0.98848,                0.71154,                 1.0979,                0.36075,                 1.1576,              0.0090892,              0.0090892,              0.0090892
                     48,                 1.0025,                0.46938,                 1.1125,                0.99316,                0.96756,                0.98974,                0.71337,                 1.0979,                0.36026,                 1.1576,              0.0090694,              0.0090694,              0.0090694
                     49,                0.99942,                0.46682,                 1.1128,                0.99412,                0.96841,                0.98904,                0.71263,                 1.0972,                0.36021,                 1.1569,              0.0090496,              0.0090496,              0.0090496
                     50,                 1.0074,                0.46961,                 1.1132,                0.99413,                0.96899,                0.98994,                0.71241,                 1.0967,                0.35957,                  1.157,              0.0090298,              0.0090298,              0.0090298
                     51,                 1.0062,                0.46445,                 1.1136,                0.99413,                0.96931,                0.99013,                0.71339,                 1.0957,                0.35843,                 1.1567,                0.00901,                0.00901,                0.00901
                     52,                  1.004,                0.46507,                 1.1131,                0.99413,                 0.9692,                0.99017,                0.71577,                  1.095,                0.35754,                 1.1562,              0.0089902,              0.0089902,              0.0089902
                     53,                 1.0037,                 0.4648,                 1.1118,                0.99413,                0.96945,                0.99019,                0.71586,                 1.0946,                 0.3573,                 1.1558,              0.0089704,              0.0089704,              0.0089704
                     54,                 1.0043,                0.46703,                 1.1111,                0.99231,                0.96851,                0.98977,                0.71652,                 1.0948,                0.35575,                 1.1558,              0.0089506,              0.0089506,              0.0089506
                     55,                0.99639,                0.46436,                 1.1066,                0.99316,                0.96999,                0.99073,                0.71666,                 1.0945,                0.35559,                 1.1557,              0.0089308,              0.0089308,              0.0089308
                     56,                0.99532,                0.46364,                 1.1093,                0.99316,                0.97025,                0.99094,                0.71535,                  1.094,                0.35543,                 1.1555,               0.008911,               0.008911,               0.008911
                     57,                0.99746,                0.46309,                 1.1107,                0.99292,                0.97042,                 0.9911,                0.71546,                 1.0936,                0.35527,                 1.1554,              0.0088912,              0.0088912,              0.0088912
                     58,                0.99768,                0.46349,                  1.108,                0.99165,                0.96851,                0.99101,                0.71567,                 1.0932,                0.35506,                 1.1551,              0.0088714,              0.0088714,              0.0088714
                     59,                0.99696,                0.46323,                 1.1117,                0.99069,                0.96851,                0.99118,                0.71494,                 1.0928,                0.35526,                  1.155,              0.0088516,              0.0088516,              0.0088516
                     60,                 0.9951,                0.45998,                 1.1105,                0.99048,                0.96851,                0.99118,                0.71543,                 1.0926,                0.35458,                 1.1549,              0.0088318,              0.0088318,              0.0088318
                     61,                0.99324,                0.46139,                 1.1059,                0.99076,                0.96851,                  0.991,                 0.7144,                 1.0919,                0.35418,                 1.1546,               0.008812,               0.008812,               0.008812
                     62,                0.99236,                0.46089,                 1.1092,                0.99024,                0.96774,                0.99127,                0.71469,                 1.0918,                 0.3544,                 1.1545,              0.0087922,              0.0087922,              0.0087922
                     63,                0.98911,                0.45077,                 1.1066,                0.99007,                0.96851,                0.99119,                0.71562,                 1.0917,                0.35329,                 1.1544,              0.0087724,              0.0087724,              0.0087724
                     64,                0.99225,                0.45869,                 1.1071,                0.98928,                0.96823,                0.99102,                0.71376,                 1.0921,                0.35386,                 1.1548,              0.0087526,              0.0087526,              0.0087526
                     65,                0.98555,                0.45632,                 1.1009,                0.98819,                0.96947,                0.99101,                0.71491,                 1.0914,                0.35427,                 1.1548,              0.0087328,              0.0087328,              0.0087328
                     66,                 0.9861,                0.45854,                 1.1024,                0.98722,                0.96947,                0.99103,                0.71492,                 1.0914,                0.35348,                  1.155,               0.008713,               0.008713,               0.008713
                     67,                0.98972,                0.45982,                  1.104,                0.98716,                0.96947,                0.99105,                0.71368,                 1.0914,                0.35353,                 1.1549,              0.0086932,              0.0086932,              0.0086932
                     68,                0.99321,                0.45454,                 1.1037,                0.98729,                0.96947,                0.99097,                0.71559,                  1.091,                0.35326,                 1.1546,              0.0086734,              0.0086734,              0.0086734
                     69,                0.98346,                0.45274,                 1.1015,                0.98737,                0.96955,                0.99086,                0.71572,                 1.0904,                0.35305,                 1.1545,              0.0086536,              0.0086536,              0.0086536
                     70,                0.98924,                0.45665,                 1.1043,                0.98643,                0.97138,                0.99061,                0.71466,                 1.0902,                 0.3533,                 1.1542,              0.0086338,              0.0086338,              0.0086338
                     71,                0.98842,                0.45834,                 1.1038,                0.98644,                0.97161,                0.99109,                0.71449,                 1.0898,                0.35367,                 1.1542,               0.008614,               0.008614,               0.008614
                     72,                 0.9868,                0.45375,                 1.1038,                0.98737,                0.96978,                0.99016,                0.71503,                   1.09,                0.35382,                 1.1546,              0.0085942,              0.0085942,              0.0085942
                     73,                 0.9892,                0.45818,                 1.1046,                0.98742,                0.96947,                0.98981,                0.71555,                 1.0904,                 0.3538,                 1.1548,              0.0085744,              0.0085744,              0.0085744
                     74,                0.98294,                0.45487,                 1.0986,                0.98719,                0.96947,                0.98938,                0.71681,                 1.0897,                0.35363,                 1.1545,              0.0085546,              0.0085546,              0.0085546
                     75,                0.98679,                0.45631,                 1.1016,                0.98706,                0.96947,                0.98912,                0.71661,                 1.0902,                0.35342,                  1.155,              0.0085348,              0.0085348,              0.0085348
                     76,                0.98585,                0.45388,                 1.1027,                 0.9857,                0.97137,                0.98896,                0.71715,                 1.0902,                0.35311,                 1.1552,               0.008515,               0.008515,               0.008515
                     77,                0.98089,                0.45168,                 1.1015,                0.98549,                0.97243,                0.98911,                0.71743,                   1.09,                0.35275,                 1.1555,              0.0084952,              0.0084952,              0.0084952
                     78,                0.98589,                0.45019,                 1.1017,                0.98835,                 0.9712,                 0.9892,                0.71653,                 1.0898,                0.35263,                 1.1555,              0.0084754,              0.0084754,              0.0084754
                     79,                0.98005,                0.44913,                 1.1002,                0.98777,                0.97137,                0.98919,                 0.7163,                 1.0894,                0.35357,                 1.1555,              0.0084556,              0.0084556,              0.0084556
                     80,                0.98084,                0.45203,                 1.1006,                0.98832,                0.97137,                0.98928,                0.71673,                 1.0896,                0.35302,                 1.1557,              0.0084358,              0.0084358,              0.0084358
                     81,                0.98144,                0.44967,                 1.0962,                0.98929,                0.96972,                0.98932,                0.71657,                 1.0905,                 0.3538,                  1.156,               0.008416,               0.008416,               0.008416
                     82,                0.97619,                0.44399,                 1.0967,                0.98864,                0.96947,                0.98937,                 0.7159,                 1.0907,                0.35395,                 1.1564,              0.0083962,              0.0083962,              0.0083962
                     83,                0.97595,                0.44718,                 1.0966,                0.98736,                0.96884,                0.98754,                0.71731,                 1.0903,                0.35437,                 1.1564,              0.0083764,              0.0083764,              0.0083764
                     84,                0.98178,                0.44861,                 1.1023,                0.98874,                0.96851,                0.98724,                0.71548,                 1.0898,                0.35405,                 1.1563,              0.0083566,              0.0083566,              0.0083566
                     85,                0.97871,                0.45174,                 1.1001,                0.98495,                0.97042,                0.98729,                 0.7173,                 1.0897,                0.35382,                 1.1563,              0.0083368,              0.0083368,              0.0083368
                     86,                0.97661,                0.44596,                 1.0975,                0.98685,                0.97042,                0.98725,                0.71731,                 1.0893,                0.35376,                 1.1562,               0.008317,               0.008317,               0.008317
                     87,                0.97797,                0.45061,                 1.0978,                0.98692,                0.97042,                0.98729,                0.71743,                 1.0888,                0.35414,                 1.1561,              0.0082972,              0.0082972,              0.0082972
                     88,                0.97314,                0.44559,                 1.0931,                 0.9886,                0.97042,                0.98728,                0.71634,                 1.0888,                0.35397,                  1.156,              0.0082774,              0.0082774,              0.0082774
                     89,                0.97543,                0.45289,                 1.1004,                0.98844,                0.97042,                0.98733,                0.71619,                 1.0894,                0.35429,                 1.1567,              0.0082576,              0.0082576,              0.0082576
                     90,                 0.9768,                0.44909,                 1.0989,                0.98969,                0.97042,                0.98733,                0.71588,                 1.0891,                0.35477,                 1.1566,              0.0082378,              0.0082378,              0.0082378
                     91,                0.97685,                0.45017,                  1.094,                0.98914,                0.97042,                0.98736,                0.71611,                  1.089,                0.35414,                 1.1567,               0.008218,               0.008218,               0.008218
                     92,                0.97576,                0.44629,                 1.0957,                0.99021,                0.97137,                0.98888,                0.71596,                 1.0894,                0.35363,                 1.1571,              0.0081982,              0.0081982,              0.0081982
                     93,                0.96864,                0.44464,                  1.093,                 0.9886,                0.97042,                0.98735,                0.71609,                 1.0892,                0.35422,                 1.1574,              0.0081784,              0.0081784,              0.0081784
                     94,                 0.9707,                 0.4486,                 1.0965,                0.98877,                0.97042,                0.98732,                0.71788,                 1.0894,                0.35355,                 1.1576,              0.0081586,              0.0081586,              0.0081586
                     95,                0.97653,                0.44696,                 1.1001,                0.98773,                0.97042,                0.98728,                0.71644,                 1.0893,                0.35402,                 1.1578,              0.0081388,              0.0081388,              0.0081388
                     96,                0.96949,                0.44219,                 1.0963,                0.98833,                0.97014,                0.98733,                 0.7165,                  1.089,                0.35395,                 1.1576,               0.008119,               0.008119,               0.008119
                     97,                0.97086,                0.44413,                 1.0982,                0.98834,                0.97036,                 0.9874,                 0.7172,                 1.0891,                0.35337,                 1.1577,              0.0080992,              0.0080992,              0.0080992
                     98,                0.97263,                0.44717,                 1.0965,                0.98834,                0.97034,                0.98741,                0.71749,                 1.0887,                0.35348,                 1.1574,              0.0080794,              0.0080794,              0.0080794
                     99,                0.97271,                0.44584,                 1.0978,                0.98828,                0.97137,                0.98748,                0.71736,                 1.0882,                0.35343,                 1.1572,              0.0080596,              0.0080596,              0.0080596
                    100,                0.97008,                0.44634,                 1.0941,                 0.9881,                0.97137,                0.98746,                0.71819,                 1.0879,                0.35283,                 1.1568,              0.0080398,              0.0080398,              0.0080398
                    101,                0.96768,                0.44532,                 1.0945,                0.98835,                0.97125,                0.98747,                 0.7173,                 1.0882,                0.35221,                 1.1569,                0.00802,                0.00802,                0.00802
                    102,                0.96431,                0.44093,                  1.089,                0.98834,                0.97099,                0.98716,                 0.7179,                 1.0872,                0.35235,                 1.1563,              0.0080002,              0.0080002,              0.0080002
                    103,                0.96751,                 0.4423,                 1.0895,                0.98784,                0.97042,                0.98717,                0.71722,                 1.0864,                0.35274,                  1.156,              0.0079804,              0.0079804,              0.0079804
                    104,                0.96238,                0.43965,                 1.0929,                0.98843,                0.97042,                0.98749,                0.71776,                 1.0864,                  0.353,                 1.1562,              0.0079606,              0.0079606,              0.0079606
                    105,                0.96502,                0.44118,                 1.0918,                0.98834,                0.97049,                0.98753,                0.71899,                 1.0859,                0.35382,                 1.1562,              0.0079408,              0.0079408,              0.0079408
                    106,                0.96188,                 0.4412,                 1.0935,                0.98807,                0.97042,                0.98799,                0.71953,                 1.0858,                0.35366,                  1.156,               0.007921,               0.007921,               0.007921
                    107,                0.96195,                0.44141,                  1.089,                0.98901,                0.97137,                0.98896,                0.71765,                 1.0852,                0.35422,                 1.1557,              0.0079012,              0.0079012,              0.0079012
                    108,                0.96603,                0.44411,                 1.0939,                0.98882,                0.97137,                0.98872,                0.71816,                 1.0845,                0.35425,                 1.1557,              0.0078814,              0.0078814,              0.0078814
                    109,                0.96275,                0.44084,                 1.0947,                0.98889,                0.97137,                 0.9876,                0.71822,                 1.0842,                0.35427,                 1.1558,              0.0078616,              0.0078616,              0.0078616
                    110,                0.96411,                0.44347,                 1.0894,                0.98856,                0.97137,                0.98729,                0.71736,                 1.0844,                0.35392,                  1.156,              0.0078418,              0.0078418,              0.0078418
                    111,                0.96457,                0.43772,                 1.0888,                0.98803,                0.97042,                0.98724,                0.71783,                 1.0835,                0.35336,                 1.1558,               0.007822,               0.007822,               0.007822
                    112,                0.95906,                0.43719,                 1.0889,                0.98754,                0.96947,                0.98662,                0.71762,                 1.0837,                0.35288,                 1.1558,              0.0078022,              0.0078022,              0.0078022
                    113,                0.96262,                0.44109,                 1.0918,                 0.9894,                0.97042,                0.98697,                0.71817,                 1.0834,                0.35241,                 1.1557,              0.0077824,              0.0077824,              0.0077824
                    114,                 0.9623,                0.43925,                 1.0952,                0.98977,                0.97042,                0.98722,                0.71772,                 1.0833,                0.35226,                 1.1557,              0.0077626,              0.0077626,              0.0077626
                    115,                0.95782,                0.43753,                 1.0893,                0.99027,                 0.9711,                 0.9872,                0.71761,                 1.0836,                0.35252,                 1.1561,              0.0077428,              0.0077428,              0.0077428
                    116,                0.95926,                0.43619,                 1.0905,                0.99124,                0.97225,                0.98764,                0.71748,                 1.0835,                0.35183,                 1.1561,               0.007723,               0.007723,               0.007723
                    117,                0.96153,                0.44055,                 1.0884,                0.99124,                0.97227,                 0.9873,                0.71712,                 1.0841,                0.35155,                 1.1564,              0.0077032,              0.0077032,              0.0077032
                    118,                 0.9642,                0.43893,                 1.0908,                0.99082,                0.97233,                0.98729,                 0.7172,                  1.084,                0.35107,                 1.1561,              0.0076834,              0.0076834,              0.0076834
                    119,                0.95525,                 0.4365,                 1.0886,                0.99073,                0.97233,                0.98729,                0.71674,                 1.0844,                0.35172,                 1.1563,              0.0076636,              0.0076636,              0.0076636
                    120,                 0.9565,                0.43518,                 1.0873,                0.99075,                0.97233,                0.98728,                0.71735,                 1.0844,                0.35185,                 1.1565,              0.0076438,              0.0076438,              0.0076438
                    121,                0.96324,                0.43825,                 1.0878,                0.99098,                0.97233,                0.98731,                0.71856,                 1.0846,                0.35176,                 1.1565,               0.007624,               0.007624,               0.007624
                    122,                0.96302,                0.43797,                 1.0893,                0.99091,                0.97233,                 0.9876,                 0.7179,                 1.0843,                 0.3521,                 1.1564,              0.0076042,              0.0076042,              0.0076042
                    123,                0.95899,                0.43518,                 1.0906,                0.99078,                0.97233,                0.98761,                0.71775,                 1.0843,                0.35204,                 1.1563,              0.0075844,              0.0075844,              0.0075844
                    124,                0.95897,                0.43689,                 1.0883,                0.99106,                0.97233,                0.98729,                0.71756,                 1.0844,                0.35189,                 1.1564,              0.0075646,              0.0075646,              0.0075646
                    125,                 0.9561,                0.43573,                  1.087,                0.99083,                0.97233,                0.98734,                0.71746,                 1.0844,                0.35192,                 1.1564,              0.0075448,              0.0075448,              0.0075448
                    126,                  0.952,                0.43436,                 1.0843,                0.99082,                0.97233,                0.98735,                0.71849,                 1.0842,                0.35202,                 1.1563,               0.007525,               0.007525,               0.007525
                    127,                0.95454,                0.43019,                 1.0878,                0.99054,                0.97233,                0.98736,                0.71847,                 1.0841,                0.35186,                  1.156,              0.0075052,              0.0075052,              0.0075052
                    128,                  0.956,                0.43244,                 1.0865,                0.99042,                0.97233,                0.98734,                0.71809,                  1.084,                 0.3517,                 1.1563,              0.0074854,              0.0074854,              0.0074854
                    129,                0.95164,                0.43514,                 1.0867,                0.99023,                0.97233,                0.98731,                0.71759,                  1.084,                0.35132,                 1.1563,              0.0074656,              0.0074656,              0.0074656
                    130,                 0.9523,                0.43379,                 1.0843,                0.99005,                0.97233,                0.98769,                 0.7176,                 1.0841,                0.35115,                 1.1567,              0.0074458,              0.0074458,              0.0074458
                    131,                0.94919,                0.43488,                 1.0811,                0.98975,                0.97233,                0.98769,                0.71761,                 1.0838,                0.35073,                 1.1564,               0.007426,               0.007426,               0.007426
                    132,                0.95189,                0.43269,                 1.0854,                0.98995,                0.97233,                0.98773,                0.71916,                 1.0837,                0.35125,                 1.1563,              0.0074062,              0.0074062,              0.0074062
                    133,                0.95494,                0.43416,                 1.0854,                0.98985,                0.97233,                 0.9877,                 0.7181,                 1.0834,                0.35116,                 1.1562,              0.0073864,              0.0073864,              0.0073864
                    134,                0.94369,                0.42761,                 1.0807,                0.98549,                0.97185,                0.98727,                0.71753,                 1.0833,                0.35162,                 1.1563,              0.0073666,              0.0073666,              0.0073666
                    135,                0.94872,                0.42994,                 1.0839,                0.98548,                0.97166,                0.98722,                 0.7169,                 1.0834,                0.35055,                 1.1562,              0.0073468,              0.0073468,              0.0073468
                    136,                0.94627,                0.42799,                 1.0827,                0.98616,                0.97233,                 0.9872,                 0.7171,                 1.0835,                0.35077,                 1.1562,               0.007327,               0.007327,               0.007327
                    137,                0.94622,                0.43444,                 1.0852,                  0.985,                0.97328,                0.98719,                0.71672,                 1.0832,                0.35092,                 1.1563,              0.0073072,              0.0073072,              0.0073072
                    138,                0.94875,                0.43141,                 1.0828,                0.98537,                0.97328,                0.98718,                 0.7171,                  1.083,                0.35049,                 1.1561,              0.0072874,              0.0072874,              0.0072874
                    139,                  0.947,                0.43173,                 1.0805,                0.98565,                0.97137,                0.98717,                0.71665,                  1.083,                0.35021,                  1.156,              0.0072676,              0.0072676,              0.0072676
                    140,                0.94493,                0.43166,                 1.0806,                0.98548,                0.97152,                0.98722,                0.71685,                 1.0835,                0.34991,                 1.1561,              0.0072478,              0.0072478,              0.0072478
                    141,                0.92692,                0.41459,                 1.0745,                0.98548,                 0.9715,                0.98724,                0.71736,                 1.0828,                0.35006,                 1.1561,               0.007228,               0.007228,               0.007228
                    142,                0.94049,                0.42287,                 1.0812,                0.98548,                0.97162,                0.98723,                0.71768,                 1.0831,                0.35009,                 1.1564,              0.0072082,              0.0072082,              0.0072082
                    143,                 0.9401,                0.42617,                  1.079,                0.98848,                0.96947,                0.98725,                0.71828,                 1.0829,                0.34992,                 1.1564,              0.0071884,              0.0071884,              0.0071884
                    144,                0.94681,                0.42866,                 1.0811,                0.98854,                0.96947,                0.98723,                0.71794,                 1.0826,                0.35014,                 1.1563,              0.0071686,              0.0071686,              0.0071686
                    145,                0.94227,                0.42721,                 1.0848,                 0.9893,                0.97032,                0.98699,                  0.718,                 1.0818,                0.34889,                 1.1562,              0.0071488,              0.0071488,              0.0071488
                    146,                0.94285,                0.42622,                 1.0798,                 0.9893,                 0.9709,                0.98698,                0.71813,                 1.0819,                0.34876,                 1.1563,               0.007129,               0.007129,               0.007129
                    147,                0.94495,                0.43181,                 1.0816,                0.98896,                0.97042,                0.98697,                0.71802,                 1.0823,                0.34866,                 1.1569,              0.0071092,              0.0071092,              0.0071092
                    148,                0.94545,                0.42946,                 1.0824,                 0.9891,                0.97042,                0.98694,                0.71712,                 1.0823,                0.34799,                  1.157,              0.0070894,              0.0070894,              0.0070894
                    149,                0.94563,                0.42664,                 1.0797,                 0.9884,                0.97042,                 0.9869,                0.71855,                  1.083,                0.34868,                 1.1575,              0.0070696,              0.0070696,              0.0070696
                    150,                0.94252,                 0.4289,                 1.0798,                0.98834,                 0.9702,                 0.9869,                0.71794,                 1.0831,                0.34833,                 1.1571,              0.0070498,              0.0070498,              0.0070498
                    151,                0.94401,                0.42889,                 1.0815,                0.98737,                0.96985,                0.98647,                0.71762,                 1.0833,                0.34909,                 1.1572,                0.00703,                0.00703,                0.00703
                    152,                0.94671,                0.42991,                 1.0847,                0.98635,                0.97042,                0.98647,                0.71852,                 1.0826,                0.34899,                  1.157,              0.0070102,              0.0070102,              0.0070102
                    153,                0.94362,                0.43118,                 1.0816,                0.98748,                0.96851,                0.98646,                0.71849,                 1.0827,                0.34894,                 1.1573,              0.0069904,              0.0069904,              0.0069904
                    154,                0.94644,                0.43154,                 1.0852,                0.98758,                0.96851,                0.98643,                0.71957,                 1.0827,                0.34878,                 1.1569,              0.0069706,              0.0069706,              0.0069706
                    155,                0.94333,                0.42978,                 1.0769,                0.98774,                0.96851,                0.98667,                0.71953,                 1.0829,                0.34931,                 1.1572,              0.0069508,              0.0069508,              0.0069508
                    156,                0.94245,                0.42957,                 1.0767,                0.98906,                0.96851,                0.98665,                0.71909,                 1.0828,                0.34887,                 1.1573,               0.006931,               0.006931,               0.006931
